Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
group18,Group18.Demo.Trello,DemoTrelloBackendApplication,main,3,1,1,9,0,,
group18,Group18.Demo.Trello,TrelloController,createWorkspace,3,1,1,29,0,Group18.Demo.Trello.service.WorkspaceService,Group18.Demo.Trello.service.WorkspaceService
group18,Group18.Demo.Trello,TrelloController,createBoard,3,1,1,35,0,Group18.Demo.Trello.service.BoardService,Group18.Demo.Trello.service.BoardService
group18,Group18.Demo.Trello,TrelloController,deleteBoard,3,1,1,41,0,Group18.Demo.Trello.service.BoardService,Group18.Demo.Trello.service.BoardService
group18,Group18.Demo.Trello,TrelloController,resetPassword,3,1,1,47,0,Group18.Demo.Trello.service.UserService,Group18.Demo.Trello.service.UserService
group18,Group18.Demo.Trello,TrelloController,addMembersToWorkspace,3,1,1,53,0,Group18.Demo.Trello.service.WorkspaceService,Group18.Demo.Trello.service.WorkspaceService
group18,Group18.Demo.Trello,TrelloController,findUserIdByEmail,3,1,1,59,0,Group18.Demo.Trello.service.UserService,Group18.Demo.Trello.service.UserService
group18,Group18.Demo.Trello,TrelloController,findWorkspaceIdByName,3,1,1,65,0,Group18.Demo.Trello.service.WorkspaceService,Group18.Demo.Trello.service.WorkspaceService
group18,Group18.Demo.Trello,TrelloController,findBoardIdByTitle,3,1,1,71,0,Group18.Demo.Trello.service.BoardService,Group18.Demo.Trello.service.BoardService
group18,Group18.Demo.Trello,TrelloController,modifyWorkspace,3,1,1,77,0,Group18.Demo.Trello.service.WorkspaceService,Group18.Demo.Trello.service.WorkspaceService
group18,Group18.Demo.Trello,TrelloController,findTaskByIdOrTitle,3,1,2,83,0,Group18.Demo.Trello.service.TaskService,Group18.Demo.Trello.service.TaskService
group18,Group18.Demo.Trello,TrelloController,modifyTask,3,1,1,90,0,Group18.Demo.Trello.service.TaskService,Group18.Demo.Trello.service.TaskService
group18,Group18.Demo.Trello,TrelloController,createTask,3,1,1,96,0,Group18.Demo.Trello.service.TaskService,Group18.Demo.Trello.service.TaskService
group18,Group18.Demo.Trello,TrelloController,assignMembersToTask,3,1,1,102,0,Group18.Demo.Trello.service.TaskService,Group18.Demo.Trello.service.TaskService
group18,Group18.Demo.Trello,TrelloController,getUserWorkspaces,3,1,1,108,0,Group18.Demo.Trello.service.UserService,Group18.Demo.Trello.service.UserService
