Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
group18,Group18.Demo.Trello,DemoTrelloBackendApplication,0,0,1,1,5,1,0,0,-1.0,0,0,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\DemoTrelloBackendApplication.java,6
group18,Group18.Demo.Trello,TrelloController,5,0,21,21,70,21,0,0,0.23809523809523808,0,9,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\TrelloController.java,13
group18,Group18.Demo.Trello,DemoTrelloBackendApplicationTests,0,0,1,0,4,1,0,0,-1.0,0,0,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\test\java\Group18\Demo\Trello\DemoTrelloBackendApplicationTests.java,6
group18,Group18.Demo.Trello.model,Board,5,0,12,12,45,12,0,0,0.25,6,1,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\model\Board.java,13
group18,Group18.Demo.Trello.model,List,4,0,9,9,34,9,0,0,0.3333333333333333,4,1,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\model\List.java,12
group18,Group18.Demo.Trello.model,Task,7,0,15,15,58,15,0,0,0.2,4,1,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\model\Task.java,13
group18,Group18.Demo.Trello.model,User,9,0,19,19,72,19,0,0,0.2631578947368421,10,0,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\model\User.java,12
group18,Group18.Demo.Trello.model,Workspace,5,0,12,12,48,12,0,0,0.0,7,0,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\model\Workspace.java,12
group18,Group18.Demo.Trello.repository,BoardRepository,0,0,1,1,3,1,0,0,-1.0,2,1,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\repository\BoardRepository.java,6
group18,Group18.Demo.Trello.repository,ListRepository,0,0,0,0,2,0,0,0,-1.0,2,0,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\repository\ListRepository.java,6
group18,Group18.Demo.Trello.repository,TaskRepository,0,0,1,1,3,1,0,0,-1.0,2,1,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\repository\TaskRepository.java,6
group18,Group18.Demo.Trello.repository,UserRepository,0,0,3,0,5,3,0,0,-1.0,3,1,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\repository\UserRepository.java,6
group18,Group18.Demo.Trello.repository,WorkspaceRepository,0,0,1,1,3,1,0,0,-1.0,2,1,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\repository\WorkspaceRepository.java,7
group18,Group18.Demo.Trello.security,CustomUserDetails,1,0,8,8,28,8,0,0,0.75,0,1,C:\Users\ayaha\OneDrive\Desktop\CSCI3130\Project\group18\Backend-Trello\src\main\java\Group18\Demo\Trello\security\CustomUserDetails.java,11
